,movie_title,title_year,duration,color,genre,language,country,content_rating,director_name,actor_1_name,actor_2_name,budget,gross,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,num_critic_for_reviews,IMDB_user_votes,IMDB_user_reviews,IMDB_score
39,Shaft,2000,99.0,Color,Action,English,Germany,R,John Singleton,Christian Bale,Vanessa Williams,46000000.0,70327868.0,309,23000.0,1000.0,0,160.0,58416.0,301.0,5.9
40,"Me, Myself & Irene",2000,116.0,Color,Comedy,English,USA,R,Bobby Farrelly,Robert Forster,Tony Cox,51000000.0,90567722.0,101,889.0,624.0,0,155.0,185878.0,481.0,6.5
41,Erin Brockovich,2000,131.0,Color,Biography,English,USA,R,Steven Soderbergh,Julia Roberts,Albert Finney,52000000.0,125548685.0,0,8000.0,883.0,0,169.0,135246.0,498.0,7.3
42,The Replacements,2000,118.0,Color,Comedy,English,USA,PG-13,Howard Deutch,Keanu Reeves,Jon Favreau,50000000.0,44737059.0,41,18000.0,4000.0,0,118.0,48322.0,261.0,6.5
43,The Beach,2000,119.0,Color,Adventure,English,USA,R,Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,50000000.0,39778599.0,0,29000.0,414.0,0,118.0,176169.0,548.0,6.6
44,What Planet Are You From?,2000,87.0,Color,Comedy,English,USA,R,Mike Nichols,Judy Greer,Linda Fiorentino,50000000.0,6291602.0,0,2000.0,602.0,255,82.0,8070.0,91.0,5.6
45,Traffic,2000,190.0,Color,Crime,English,USA,R,Steven Soderbergh,Michael O'Neill,Jacob Vargas,48000000.0,124107476.0,0,599.0,399.0,0,223.0,170684.0,867.0,7.6
46,Bedazzled,2000,93.0,Color,Comedy,English,USA,PG-13,Harold Ramis,Brendan Fraser,Frances O'Connor,48000000.0,37879996.0,11000,3000.0,575.0,0,125.0,81888.0,254.0,6.0
47,Miss Congeniality,2000,109.0,Color,Action,English,USA,PG-13,Donald Petrie,Candice Bergen,Wendy Raquel Robinson,45000000.0,106807667.0,80,545.0,337.0,0,140.0,137377.0,370.0,6.2
48,Coyote Ugly,2000,107.0,Color,Comedy,English,USA,PG-13,David McNally,Adam Garcia,Tyra Banks,45000000.0,60786269.0,18,811.0,625.0,0,155.0,90539.0,379.0,5.6
49,All the Pretty Horses,2000,220.0,Color,Drama,English,USA,PG-13,Billy Bob Thornton,Matt Damon,Henry Thomas,57000000.0,15527125.0,0,13000.0,861.0,652,85.0,11388.0,183.0,5.8
50,Finding Forrester,2000,136.0,Color,Drama,English,USA,PG-13,Gus Van Sant,F. Murray Abraham,Rob Brown,43000000.0,51768623.0,835,670.0,370.0,0,137.0,73006.0,297.0,7.3
51,28 Days,2000,103.0,Color,Comedy,English,USA,PG-13,Betty Thomas,Steve Buscemi,Viggo Mortensen,43000000.0,37035515.0,84,12000.0,10000.0,0,116.0,34597.0,194.0,6.0
52,Chicken Run,2000,84.0,Color,Adventure,English,UK,G,Peter Lord,Imelda Staunton,Miranda Richardson,45000000.0,106793915.0,91,579.0,530.0,0,187.0,140499.0,358.0,7.0
53,Scream 3,2000,116.0,Color,Horror,English,USA,R,Wes Craven,Kelly Rutherford,Roger Jackson,40000000.0,89138076.0,0,287.0,157.0,0,212.0,98535.0,734.0,5.5
54,Autumn in New York,2000,103.0,Color,Drama,English,USA,PG-13,Joan Chen,J.K. Simmons,Sam Trammell,40000000.0,37752931.0,643,24000.0,1000.0,0,101.0,20201.0,180.0,5.5
55,Hanging Up,2000,94.0,Color,Comedy,English,Germany,PG-13,Diane Keaton,Adam Arkin,Celia Weston,60000000.0,36037909.0,0,374.0,258.0,390,82.0,10132.0,130.0,4.7
56,Pay It Forward,2000,123.0,Color,Drama,English,USA,PG-13,Mimi Leder,Kevin Spacey,Haley Joel Osment,40000000.0,33508922.0,75,18000.0,3000.0,16000,157.0,95860.0,660.0,7.2
57,The Art of War,2000,116.0,Color,Action,English,USA,R,Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,40000000.0,30199105.0,18,2000.0,1000.0,470,110.0,25346.0,167.0,5.7
58,Bless the Child,2000,107.0,Color,Crime,English,USA,R,Chuck Russell,Rufus Sewell,Jimmy Smits,40000000.0,29374178.0,55,3000.0,941.0,394,100.0,12093.0,188.0,5.1
59,Get Carter,2000,102.0,Color,Action,English,USA,R,Stephen Kay,Sylvester Stallone,Miranda Richardson,40000000.0,14967182.0,19,13000.0,530.0,604,102.0,27305.0,284.0,5.1
60,Reindeer Games,2000,124.0,Color,Action,English,USA,R,John Frankenheimer,Charlize Theron,James Frain,34000000.0,23360779.0,287,9000.0,1000.0,852,126.0,31113.0,212.0,5.7
61,Isn't She Great,2000,95.0,Color,Biography,English,USA,R,Andrew Bergman,Stockard Channing,Nathan Lane,36000000.0,2954405.0,31,944.0,886.0,133,63.0,1977.0,64.0,5.3
62,The Cell,2000,109.0,Color,Horror,English,USA,R,Tarsem Singh,Dylan Baker,Jake Weber,33000000.0,61280963.0,763,812.0,551.0,0,225.0,79877.0,677.0,6.3
63,Wonder Boys,2000,107.0,Color,Comedy,English,USA,R,Curtis Hanson,Robert Downey Jr.,Rip Torn,55000000.0,19389454.0,161,21000.0,826.0,0,173.0,54643.0,335.0,7.4
64,I Dreamed of Africa,2000,114.0,Color,Adventure,English,USA,PG-13,Hugh Hudson,Liam Aiken,Eva Marie Saint,34000000.0,6543194.0,46,818.0,649.0,314,52.0,3740.0,61.0,5.6
65,Big Momma's House,2000,99.0,Color,Action,English,USA,PG-13,Raja Gosnell,Nia Long,Cedric the Entertainer,30000000.0,117559438.0,67,826.0,436.0,1000,100.0,66941.0,148.0,5.1
66,The Watcher,2000,97.0,Color,Crime,English,USA,R,Joe Charbanic,Keanu Reeves,Joseph Sikora,33000000.0,28927720.0,10,18000.0,223.0,463,103.0,22220.0,181.0,5.3
67,Men of Honor,2000,129.0,Color,Biography,English,USA,R,George Tillman Jr.,Robert De Niro,Charlize Theron,32000000.0,48814909.0,88,22000.0,9000.0,0,98.0,89424.0,224.0,7.2
68,Frequency,2000,118.0,Color,Crime,English,USA,PG-13,Gregory Hoblit,Dennis Quaid,Andre Braugher,31000000.0,44983704.0,40,2000.0,702.0,0,168.0,81866.0,510.0,7.3
69,Remember the Titans,2000,120.0,Color,Biography,English,USA,PG,Boaz Yakin,Ryan Gosling,Denzel Washington,30000000.0,115648585.0,132,33000.0,18000.0,0,157.0,160776.0,402.0,7.8
70,Rugrats in Paris: The Movie,2000,78.0,Color,Adventure,English,Germany,G,Stig Bergqvist,Elizabeth Daily,Casey Kasem,30000000.0,76501438.0,0,971.0,844.0,181,41.0,8146.0,49.0,6.1
71,Keeping the Faith,2000,128.0,Color,Comedy,English,USA,PG-13,Edward Norton,Lisa Edelstein,Milos Forman,30000000.0,37036404.0,0,955.0,869.0,0,148.0,44816.0,259.0,6.4
72,Dracula 2000,2000,99.0,Color,Action,English,USA,R,Patrick Lussier,Gerard Butler,Danny Masterson,28000000.0,33000377.0,71,18000.0,1000.0,0,122.0,27378.0,365.0,4.9
73,Lost Souls,2000,97.0,Color,Drama,English,USA,R,Janusz Kaminski,Philip Baker Hall,Bob Clendenin,28000000.0,16779636.0,710,497.0,347.0,209,100.0,9338.0,167.0,4.8
74,"O Brother, Where Art Thou?",2000,107.0,Color,Adventure,English,UK,PG-13,Joel Coen,Holly Hunter,Tim Blake Nelson,26000000.0,45506619.0,0,1000.0,596.0,16000,197.0,225102.0,862.0,7.8
75,Chocolat,2000,121.0,Color,Drama,English,UK,PG-13,Lasse Hallström,Lena Olin,Leslie Caron,25000000.0,71309760.0,529,541.0,399.0,18000,152.0,150308.0,498.0,7.3
76,Romeo Must Die,2000,115.0,Color,Action,English,USA,R,Andrzej Bartkowiak,Jet Li,Delroy Lindo,25000000.0,55973336.0,43,5000.0,848.0,0,70.0,57040.0,365.0,6.1
77,The Next Best Thing,2000,99.0,Color,Comedy,English,USA,PG-13,John Schlesinger,Mark Valley,Rupert Everett,25000000.0,14983572.0,154,774.0,692.0,378,86.0,9361.0,162.0,4.7
78,The Whole Nine Yards,2000,98.0,Color,Comedy,English,USA,R,Jonathan Lynn,Bruce Willis,Matthew Perry,24000000.0,57262492.0,36,13000.0,2000.0,0,129.0,90374.0,318.0,6.7
79,Return to Me,2000,115.0,Color,Comedy,English,USA,PG,Bonnie Hunt,Minnie Driver,Jim Belushi,24000000.0,32662299.0,597,893.0,854.0,0,106.0,16469.0,275.0,6.9
80,Nurse Betty,2000,110.0,Color,Comedy,English,Germany,R,Neil LaBute,Morgan Freeman,Pruitt Taylor Vince,24000000.0,25167270.0,119,11000.0,592.0,455,156.0,30119.0,263.0,6.3
81,Ready to Rumble,2000,107.0,Color,Comedy,English,USA,PG-13,Brian Robbins,Oliver Platt,Ellen Albertini Dow,24000000.0,12372410.0,48,1000.0,957.0,650,51.0,11709.0,101.0,5.3
82,Final Destination,2000,98.0,Color,Horror,English,USA,R,James Wong,Daniel Roebuck,Brendan Fehr,23000000.0,53302314.0,70,1000.0,847.0,0,211.0,181058.0,674.0,6.7
83,Pitch Black,2000,112.0,Color,Horror,English,USA,R,David Twohy,Vin Diesel,Radha Mitchell,23000000.0,39235088.0,123,14000.0,991.0,5000,214.0,193962.0,805.0,7.1
84,The Crew,2000,88.0,Color,Comedy,English,USA,PG-13,Michael Dinner,Seymour Cassel,Dan Hedaya,23000000.0,13019253.0,12,327.0,281.0,153,53.0,3914.0,47.0,5.6
85,The Little Vampire,2000,95.0,Color,Adventure,English,Germany,PG,Uli Edel,Richard E. Grant,Jim Carter,22000000.0,13555988.0,34,554.0,439.0,0,38.0,7242.0,38.0,5.7
86,The Tigger Movie,2000,77.0,Color,Animation,English,USA,G,Jun Falkenstein,Kath Soucie,John Fiedler,30000000.0,45542421.0,25,304.0,253.0,347,89.0,13319.0,53.0,6.3
87,High Fidelity,2000,113.0,Color,Comedy,English,UK,R,Stephen Frears,Drake Bell,Lili Taylor,20000000.0,27277055.0,350,1000.0,960.0,10000,174.0,143137.0,602.0,7.6
88,Loser,2000,98.0,Color,Comedy,English,USA,PG-13,Amy Heckerling,Andy Dick,Robert Miano,20000000.0,15464026.0,143,302.0,216.0,1000,81.0,23076.0,158.0,5.3
89,The Yards,2000,115.0,Color,Crime,English,USA,R,James Gray,Charlize Theron,Ellen Burstyn,24000000.0,882710.0,115,9000.0,1000.0,401,93.0,16215.0,138.0,6.4
90,Thomas and the Magic Railroad,2000,85.0,Color,Adventure,English,UK,G,Britt Allcroft,Mara Wilson,Colm Feore,19000000.0,15911333.0,2,1000.0,539.0,663,47.0,2855.0,119.0,3.6
91,Small Time Crooks,2000,94.0,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,Jon Lovitz,18000000.0,17071230.0,11000,11000.0,11000.0,812,128.0,31169.0,192.0,6.7
92,Center Stage,2000,115.0,Color,Drama,English,USA,PG-13,Nicholas Hytner,Amanda Schull,Susan May Pratt,18000000.0,17174870.0,13,757.0,220.0,0,68.0,15817.0,210.0,6.7
93,Road Trip,2000,94.0,Color,Comedy,English,USA,R,Todd Phillips,Ethan Suplee,Rachel Blanchard,15600000.0,68525609.0,480,1000.0,490.0,0,103.0,132963.0,302.0,6.5
94,Boys and Girls,2000,94.0,Color,Comedy,English,USA,PG-13,Robert Iscove,Alyson Hannigan,Amanda Detmer,16000000.0,20627372.0,7,3000.0,240.0,487,67.0,13661.0,134.0,5.3
95,Drowning Mona,2000,96.0,Color,Comedy,English,USA,PG-13,Nick Gomez,Will Ferrell,Jamie Lee Curtis,16000000.0,15427192.0,22,8000.0,2000.0,492,84.0,11768.0,148.0,5.6
96,Duets,2000,112.0,Color,Comedy,English,USA,R,Bruce Paltrow,Lochlyn Munro,Marian Seldes,15000000.0,4734235.0,28,555.0,403.0,573,65.0,8217.0,123.0,6.0
97,"Crouching Tiger, Hidden Dragon",2000,120.0,Color,Action,Mandarin,Taiwan,PG-13,Ang Lee,Chen Chang,Pei-Pei Cheng,15000000.0,128067808.0,0,103.0,21.0,0,287.0,217740.0,1641.0,7.9
98,The Skulls,2000,106.0,Color,Action,English,USA,PG-13,Rob Cohen,Paul Walker,Leslie Bibb,15000000.0,35007180.0,357,23000.0,1000.0,0,102.0,26846.0,193.0,5.6
99,Where the Heart Is,2000,120.0,Color,Comedy,English,USA,PG-13,Matt Williams,Natalie Portman,James Frain,15000000.0,33771174.0,18,20000.0,1000.0,0,78.0,27044.0,240.0,6.8
100,Love & Basketball,2000,124.0,Color,Drama,English,USA,PG-13,Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,15000000.0,27441122.0,107,1000.0,886.0,0,68.0,14322.0,116.0,7.2
101,Book of Shadows: Blair Witch 2,2000,90.0,Color,Adventure,English,USA,R,Joe Berlinger,Kim Director,Erica Leerhsen,15000000.0,26421314.0,31,193.0,184.0,949,160.0,28964.0,457.0,4.0
102,Urban Legends: Final Cut,2000,97.0,Color,Horror,English,USA,R,John Ottman,Loretta Devine,Joey Lawrence,14000000.0,21468807.0,83,912.0,786.0,243,108.0,13048.0,227.0,4.1
103,Highlander: Endgame,2000,101.0,Color,Action,English,USA,R,Douglas Aarniokoski,Christopher Lambert,Adrian Paul,15000000.0,12801190.0,36,1000.0,786.0,356,90.0,16340.0,355.0,4.6
104,Here on Earth,2000,96.0,Color,Drama,English,USA,PG-13,Mark Piznarski,Bruce Greenwood,Chris Klein,15000000.0,10494147.0,4,989.0,841.0,648,44.0,7403.0,162.0,5.1
105,Whatever It Takes,2000,94.0,Color,Comedy,English,USA,PG-13,David Raynr,James Franco,Jodi Lyn O'Keefe,15000000.0,8735529.0,9,11000.0,897.0,816,50.0,8055.0,89.0,5.5
106,The In Crowd,2000,105.0, Black and White,Drama,English,USA,PG-13,Mary Lambert,Matthew Settle,Susan Ward,15000000.0,5217498.0,52,477.0,397.0,157,49.0,3668.0,85.0,4.6
107,Pandaemonium,2000,124.0,Color,Biography,English,UK,PG-13,Julien Temple,Samantha Morton,Dexter Fletcher,15000000.0,23472900.0,67,631.0,452.0,277,22.0,695.0,32.0,6.6
108,Gossip,2000,90.0,Color,Drama,English,USA,R,Davis Guggenheim,Norman Reedus,Sharon Lawrence,24000000.0,5108820.0,49,12000.0,215.0,853,63.0,12519.0,112.0,5.9
109,Quills,2000,124.0,Color,Biography,English,UK,R,Philip Kaufman,Kate Winslet,Stephen Marcus,13500000.0,7060876.0,133,14000.0,230.0,0,132.0,44795.0,314.0,7.4
110,"Dude, Where's My Car?",2000,83.0,Color,Comedy,English,USA,PG-13,Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,13000000.0,46729374.0,8,3000.0,934.0,0,106.0,116625.0,469.0,5.5
111,Snow Day,2000,89.0,Color,Adventure,English,USA,PG,Chris Koch,Chris Elliott,Mark Webber,13000000.0,60008303.0,13,571.0,442.0,0,42.0,9285.0,91.0,4.9
112,The Widow of Saint-Pierre,2000,112.0,Color,Drama,French,France,R,Patrice Leconte,Emir Kusturica,Daniel Auteuil,100000000.0,3058380.0,83,2000.0,370.0,186,61.0,4767.0,69.0,7.3
113,The Claim,2000,115.0,Color,Drama,English,UK,R,Michael Winterbottom,Milla Jovovich,Sarah Polley,20000000.0,403932.0,187,14000.0,900.0,141,71.0,5254.0,92.0,6.5
114,Dancer in the Dark,2000,140.0,Color,Crime,English,Denmark,R,Lars von Trier,Catherine Deneuve,Udo Kier,12800000.0,4157491.0,3000,963.0,595.0,0,177.0,79330.0,690.0,8.0
115,Screwed,2000,81.0,Color,Comedy,English,USA,PG-13,Scott Alexander,Sarah Silverman,Dave Chappelle,10000000.0,6982680.0,25,931.0,744.0,262,29.0,6965.0,69.0,5.7
116,Brother,2000,114.0,Color,Crime,English,USA,R,Takeshi Kitano,Omar Epps,Tatyana Ali,10000000.0,447750.0,0,865.0,685.0,0,81.0,18520.0,133.0,7.2
117,Snatch,2000,104.0,Color,Comedy,English,UK,R,Guy Ritchie,Jason Statham,Brad Pitt,6000000.0,30093107.0,0,26000.0,11000.0,27000,151.0,600996.0,726.0,8.3
118,The Ladies Man,2000,84.0,Color,Comedy,English,USA,R,Reginald Hudlin,Will Ferrell,John Witherspoon,11000000.0,13592872.0,71,8000.0,723.0,671,58.0,10777.0,79.0,5.1
119,Bring It On,2000,98.0,Color,Comedy,English,USA,PG-13,Peyton Reed,Kirsten Dunst,Lindsay Sloane,10000000.0,68353550.0,235,4000.0,464.0,0,139.0,70141.0,385.0,5.9
120,Snatch,2000,104.0,Color,Comedy,English,UK,R,Guy Ritchie,Jason Statham,Brad Pitt,6000000.0,30093107.0,0,26000.0,11000.0,27000,151.0,600996.0,726.0,8.3
121,The House of Mirth,2000,135.0,Color,Drama,English,UK,PG,Terence Davies,Eric Stoltz,Anthony LaPaglia,10000000.0,3041803.0,25,902.0,576.0,345,96.0,6377.0,181.0,7.1
122,Bamboozled,2000,135.0,Color,Comedy,English,USA,R,Spike Lee,Gillian White,Michael Rapaport,10000000.0,2185266.0,0,1000.0,975.0,1000,57.0,8720.0,186.0,6.5
123,Gun Shy,2000,101.0,Color,Comedy,English,USA,R,Eric Blakeney,Liam Neeson,Oliver Platt,10000000.0,1631839.0,3,14000.0,1000.0,242,49.0,5936.0,91.0,5.7
124,Cecil B. DeMented,2000,87.0,Color,Comedy,English,France,R,John Waters,Alicia Witt,Melanie Griffith,10000000.0,1276984.0,0,975.0,537.0,795,90.0,11403.0,150.0,6.2
125,Next Friday,2000,98.0,Color,Comedy,English,USA,R,Steve Carr,John Witherspoon,Mike Epps,9500000.0,57176582.0,41,723.0,706.0,0,55.0,27492.0,84.0,6.1
126,Down to You,2000,91.0,Color,Comedy,English,USA,PG-13,Kris Isacsson,Rosario Dawson,Lauren German,9000000.0,20035310.0,0,3000.0,683.0,580,64.0,12324.0,173.0,4.9
127,The Contender,2000,126.0,Color,Drama,English,USA,R,Rod Lurie,Jeff Bridges,Gary Oldman,20000000.0,17804273.0,37,12000.0,10000.0,1000,136.0,20449.0,370.0,7.0
128,Boiler Room,2000,120.0,Color,Crime,English,USA,R,Ben Younger,Vin Diesel,Nia Long,8000000.0,16938179.0,46,14000.0,826.0,0,132.0,41313.0,246.0,7.0
129,The Way of the Gun,2000,119.0,Color,Action,English,USA,R,Christopher McQuarrie,Kristin Lehman,Nicky Katt,8500000.0,6047856.0,188,187.0,127.0,1000,117.0,27536.0,327.0,6.7
130,American Psycho,2000,102.0,Color,Crime,English,USA,R,Mary Harron,Christian Bale,Justin Theroux,7000000.0,15047419.0,126,23000.0,1000.0,18000,288.0,357275.0,1061.0,7.6
131,Shadow of the Vampire,2000,92.0, Black and White,Drama,English,UK,R,E. Elias Merhige,Eddie Izzard,Udo Kier,8000000.0,8279017.0,54,776.0,595.0,0,196.0,34191.0,339.0,6.9
132,Woman on Top,2000,92.0,Color,Comedy,English,USA,R,Fina Torres,Harold Perrineau,John de Lancie,8000000.0,5018450.0,26,1000.0,905.0,859,72.0,8546.0,86.0,5.3
133,My Dog Skip,2000,95.0,Color,Drama,English,USA,PG,Jay Russell,Clint Howard,Frankie Muniz,5000000.0,34099640.0,13,1000.0,934.0,0,79.0,16651.0,149.0,7.0
134,The Claim,2000,115.0,Color,Drama,English,UK,R,Michael Winterbottom,Milla Jovovich,Sarah Polley,20000000.0,403932.0,187,14000.0,900.0,141,71.0,5254.0,92.0,6.5
135,Michael Jordan to the Max,2000,46.0,Color,Documentary,English,USA,Unrated,Don Kempf,Bill Murray,Michael Jordan,21000000.0,18642318.0,0,13000.0,366.0,407,14.0,1723.0,13.0,7.5
